Description,Beat,Zip Code,Area,DVFlag,Firearm Used Flag
Burglary/Breaking and Entering,323,64127,EPD,FALSE,FALSE
Vandalism/Destruction of Property,211,64130,MPD,FALSE,FALSE
Motor Vehicle Theft,532,,SPD,FALSE,FALSE
Vandalism/Destruction of Property,413,64151,NPD,FALSE,FALSE
Driving Under the Influence,423,64155,NPD,FALSE,FALSE
Motor Vehicle Theft,425,64153,NPD,FALSE,FALSE
Simple Assault,241,64132,MPD,TRUE,FALSE
Simple Assault,213,64129,MPD,FALSE,FALSE
Shoplifting,643,64157,SCP,FALSE,FALSE
Vandalism/Destruction of Property,113,64108,CPD,FALSE,FALSE
Motor Vehicle Theft,233,64131,MPD,FALSE,FALSE
Aggravated Assault,213,64138,MPD,TRUE,TRUE
"Family Offenses, Nonviolent",534,64137,SPD,FALSE,FALSE
Simple Assault,212,64128,MPD,TRUE,FALSE
Burglary/Breaking and Entering,234,64114,MPD,FALSE,FALSE
Aggravated Assault,542,64138,SPD,FALSE,TRUE
Simple Assault,211,64130,MPD,TRUE,FALSE
Drug / Narcotic Violations,334,64130,EPD,FALSE,FALSE
Vandalism/Destruction of Property,344,64127,EPD,FALSE,FALSE
Simple Assault,413,64151,NPD,FALSE,FALSE
Trespass of Real Property,231,64114,MPD,FALSE,FALSE
Simple Assault,212,64129,MPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,134,64112,CPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,533,64131,SPD,FALSE,FALSE
Aggravated Assault,322,64127,EPD,FALSE,FALSE
Robbery,134,64111,CPD,FALSE,FALSE
Intimidation,221,64110,MPD,FALSE,FALSE
Simple Assault,131,64111,CPD,FALSE,FALSE
Theft From Motor Vehicle,134,64111,CPD,FALSE,FALSE
Theft From Motor Vehicle,221,64112,MPD,FALSE,FALSE
All Other Larceny,321,64127,EPD,TRUE,FALSE
Theft From Motor Vehicle,141,64109,CPD,FALSE,FALSE
Aggravated Assault,132,,CPD,FALSE,FALSE
Drug / Narcotic Violations,315,64123,EPD,FALSE,FALSE
Robbery,342,64126,EPD,FALSE,TRUE
Simple Assault,535,64147,SPD,TRUE,FALSE
Theft From Motor Vehicle,542,,SPD,FALSE,FALSE
Motor Vehicle Theft,132,64111,CPD,FALSE,FALSE
Simple Assault,341,64126,EPD,FALSE,FALSE
Aggravated Assault,531,64131,SPD,FALSE,TRUE
Theft of Vehicle Parts and Accessories,222,64110,MPD,FALSE,FALSE
Shoplifting,535,64145,SPD,FALSE,FALSE
Vandalism/Destruction of Property,124,64109,CPD,FALSE,FALSE
Motor Vehicle Theft,321,64127,EPD,FALSE,FALSE
Simple Assault,114,64108,CPD,FALSE,FALSE
All Other Offenses,544,64134,SPD,FALSE,FALSE
Shoplifting,132,64111,CPD,FALSE,FALSE
,211,64130,MPD,FALSE,FALSE
Credit Card / Automatic Teller,243,64132,MPD,FALSE,FALSE
Aggravated Assault,334,64130,EPD,TRUE,TRUE
Robbery,213,64129,MPD,TRUE,TRUE
Vandalism/Destruction of Property,315,64126,EPD,FALSE,FALSE
Vandalism/Destruction of Property,144,64110,CPD,FALSE,FALSE
Motor Vehicle Theft,533,64131,SPD,FALSE,FALSE
Shoplifting,324,64127,EPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,143,64110,CPD,FALSE,FALSE
Simple Assault,131,64111,CPD,FALSE,FALSE
Disorderly Conduct,241,64132,MPD,FALSE,FALSE
Aggravated Assault,331,64128,EPD,TRUE,FALSE
Intimidation,634,64119,SCP,FALSE,FALSE
Robbery,415,64118,NPD,FALSE,TRUE
Motor Vehicle Theft,231,64114,MPD,FALSE,FALSE
Motor Vehicle Theft,241,64132,MPD,FALSE,FALSE
Vandalism/Destruction of Property,112,64106,CPD,FALSE,FALSE
Shoplifting,234,64114,MPD,FALSE,FALSE
Aggravated Assault,324,64127,EPD,FALSE,TRUE
All Other Offenses,324,,EPD,FALSE,FALSE
Vandalism/Destruction of Property,121,64106,CPD,FALSE,FALSE
Aggravated Assault,534,64134,SPD,FALSE,TRUE
All Other Offenses,634,,SCP,FALSE,FALSE
Aggravated Assault,131,64108,CPD,FALSE,FALSE
Vandalism/Destruction of Property,111,,CPD,FALSE,FALSE
Simple Assault,533,64114,SPD,FALSE,FALSE
Burglary/Breaking and Entering,423,64155,NPD,FALSE,FALSE
Aggravated Assault,133,64111,CPD,FALSE,FALSE
Motor Vehicle Theft,531,64131,SPD,FALSE,FALSE
Theft From Motor Vehicle,424,64155,NPD,FALSE,FALSE
Motor Vehicle Theft,112,64105,CPD,FALSE,FALSE
Vandalism/Destruction of Property,334,64130,EPD,TRUE,FALSE
Theft From Motor Vehicle,532,64137,SPD,FALSE,FALSE
Robbery,533,64114,SPD,FALSE,FALSE
Simple Assault,241,64132,MPD,FALSE,FALSE
Motor Vehicle Theft,534,64137,SPD,FALSE,FALSE
Motor Vehicle Theft,242,64132,MPD,FALSE,FALSE
All Other Offenses,332,64128,EPD,FALSE,FALSE
Burglary/Breaking and Entering,543,64134,SPD,FALSE,FALSE
Aggravated Assault,545,64134,SPD,FALSE,TRUE
Theft From Motor Vehicle,414,64151,NPD,FALSE,FALSE
Aggravated Assault,314,64124,EPD,TRUE,FALSE
Aggravated Assault,312,64126,EPD,FALSE,TRUE
All Other Offenses,231,64114,MPD,FALSE,FALSE
Burglary/Breaking and Entering,121,64124,CPD,FALSE,FALSE
Burglary/Breaking and Entering,333,64130,EPD,FALSE,FALSE
Vandalism/Destruction of Property,112,64106,CPD,FALSE,FALSE
Simple Assault,211,64130,MPD,FALSE,FALSE
Simple Assault,213,64133,MPD,TRUE,FALSE
Simple Assault,631,64116,SCP,FALSE,FALSE
Simple Assault,334,64130,EPD,FALSE,FALSE
Aggravated Assault,334,64130,EPD,FALSE,TRUE
Identity Theft,422,64154,NPD,FALSE,FALSE
Simple Assault,212,64130,MPD,FALSE,FALSE
,532,,SPD,FALSE,FALSE
Shoplifting,422,64154,NPD,FALSE,FALSE
Burglary/Breaking and Entering,221,64112,MPD,FALSE,FALSE
Aggravated Assault,542,64134,SPD,TRUE,FALSE
All Other Larceny,315,64123,EPD,FALSE,FALSE
Weapon Law Violations,341,64128,EPD,FALSE,TRUE
Drug Equipment Violations,144,64110,CPD,FALSE,FALSE
Theft From Motor Vehicle,111,64105,CPD,FALSE,FALSE
Simple Assault,341,64126,EPD,FALSE,FALSE
Vandalism/Destruction of Property,412,64118,NPD,FALSE,FALSE
Drug Equipment Violations,314,64124,EPD,FALSE,FALSE
,112,64106,CPD,FALSE,FALSE
Vandalism/Destruction of Property,342,64129,EPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,345,64133,EPD,FALSE,FALSE
Simple Assault,113,64106,CPD,FALSE,FALSE
Motor Vehicle Theft,312,64120,EPD,FALSE,FALSE
Vandalism/Destruction of Property,221,64113,MPD,FALSE,FALSE
Vandalism/Destruction of Property,322,,EPD,FALSE,FALSE
Simple Assault,211,64130,MPD,FALSE,FALSE
All Other Larceny,541,,SPD,FALSE,FALSE
Theft From Motor Vehicle,636,64161,SCP,FALSE,FALSE
Theft of Vehicle Parts and Accessories,141,64109,CPD,FALSE,FALSE
,122,64106,CPD,FALSE,FALSE
Counterfeiting / Forgery,312,64125,EPD,FALSE,FALSE
All Other Offenses,531,64131,SPD,FALSE,FALSE
Robbery,324,64127,EPD,FALSE,FALSE
Simple Assault,415,64118,NPD,TRUE,FALSE
Robbery,112,64108,CPD,FALSE,FALSE
Theft From Motor Vehicle,133,64111,CPD,FALSE,FALSE
Prostitution,313,64124,EPD,FALSE,FALSE
,345,64133,EPD,FALSE,FALSE
Aggravated Assault,223,64110,MPD,FALSE,TRUE
Burglary/Breaking and Entering,534,64137,SPD,FALSE,FALSE
Vandalism/Destruction of Property,241,64132,MPD,FALSE,FALSE
Simple Assault,323,64127,EPD,FALSE,FALSE
,323,64127,EPD,FALSE,FALSE
Intimidation,131,64111,CPD,FALSE,FALSE
Aggravated Assault,534,64134,SPD,FALSE,TRUE
Shoplifting,423,64154,NPD,FALSE,FALSE
Aggravated Assault,211,64130,MPD,FALSE,TRUE
Simple Assault,212,64129,MPD,TRUE,FALSE
Aggravated Assault,243,64138,MPD,FALSE,FALSE
"Family Offenses, Nonviolent",331,64128,EPD,FALSE,FALSE
Aggravated Assault,631,64116,SCP,FALSE,TRUE
Aggravated Assault,542,64138,SPD,FALSE,TRUE
Robbery,411,,NPD,FALSE,TRUE
Burglary/Breaking and Entering,133,64111,CPD,FALSE,FALSE
Simple Assault,535,64145,SPD,FALSE,FALSE
Burglary/Breaking and Entering,313,64124,EPD,FALSE,FALSE
Stolen Property Offenses,212,64129,MPD,FALSE,FALSE
Vandalism/Destruction of Property,133,,CPD,FALSE,FALSE
Disorderly Conduct,112,,CPD,FALSE,FALSE
Aggravated Assault,541,64132,SPD,FALSE,TRUE
Vandalism/Destruction of Property,312,64125,EPD,FALSE,FALSE
,314,,EPD,FALSE,FALSE
Robbery,213,64129,MPD,FALSE,FALSE
Aggravated Assault,312,64126,EPD,FALSE,TRUE
Vandalism/Destruction of Property,415,64118,NPD,FALSE,FALSE
,232,64131,MPD,FALSE,FALSE
Robbery,223,64130,MPD,FALSE,FALSE
,322,64127,EPD,FALSE,FALSE
Aggravated Assault,532,64134,SPD,FALSE,TRUE
Aggravated Assault,322,64127,EPD,TRUE,TRUE
Simple Assault,321,64127,EPD,TRUE,FALSE
All Other Offenses,114,64108,CPD,FALSE,FALSE
Vandalism/Destruction of Property,132,64111,CPD,FALSE,FALSE
Theft From Motor Vehicle,331,64128,EPD,FALSE,FALSE
Aggravated Assault,322,64126,EPD,TRUE,TRUE
,999,64153,OSPD,TRUE,FALSE
All Other Offenses,345,64133,EPD,FALSE,FALSE
Trespass of Real Property,343,64127,EPD,FALSE,FALSE
False Pretenses / Swindle,121,64106,CPD,FALSE,FALSE
Burglary/Breaking and Entering,114,64108,CPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Motor Vehicle Theft,542,,SPD,FALSE,FALSE
All Other Larceny,134,64111,CPD,FALSE,FALSE
Aggravated Assault,333,64130,EPD,FALSE,TRUE
Motor Vehicle Theft,332,64128,EPD,FALSE,FALSE
Weapon Law Violations,212,64129,MPD,FALSE,TRUE
Vandalism/Destruction of Property,112,64106,CPD,FALSE,FALSE
Wire Fraud,544,64138,SPD,FALSE,FALSE
All Other Larceny,533,64131,SPD,FALSE,FALSE
False Pretenses / Swindle,533,64114,SPD,FALSE,FALSE
Aggravated Assault,334,64130,EPD,TRUE,TRUE
Theft From Motor Vehicle,111,64105,CPD,FALSE,FALSE
Theft From Motor Vehicle,242,64132,MPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,412,64118,NPD,FALSE,FALSE
,242,64132,MPD,FALSE,FALSE
Theft From Motor Vehicle,211,64130,MPD,FALSE,FALSE
Vandalism/Destruction of Property,422,64154,NPD,FALSE,FALSE
Theft From Motor Vehicle,644,64157,SCP,FALSE,FALSE
,635,,SCP,FALSE,FALSE
,311,64123,EPD,FALSE,FALSE
Drug / Narcotic Violations,324,64127,EPD,FALSE,FALSE
All Other Larceny,542,64134,SPD,FALSE,FALSE
Driving Under the Influence,134,64111,CPD,FALSE,FALSE
Vandalism/Destruction of Property,121,64120,CPD,FALSE,FALSE
Burglary/Breaking and Entering,634,64119,SCP,FALSE,FALSE
Simple Assault,232,,MPD,FALSE,FALSE
Vandalism/Destruction of Property,115,64108,CPD,FALSE,FALSE
All Other Larceny,321,64127,EPD,TRUE,FALSE
Trespass of Real Property,313,64123,EPD,FALSE,FALSE
Vandalism/Destruction of Property,322,64127,EPD,FALSE,FALSE
All Other Offenses,232,64131,MPD,FALSE,FALSE
Shoplifting,323,64127,EPD,FALSE,FALSE
Simple Assault,211,64130,MPD,FALSE,FALSE
Shoplifting,112,64105,CPD,FALSE,FALSE
Counterfeiting / Forgery,411,64116,NPD,FALSE,FALSE
,221,64112,MPD,FALSE,FALSE
Motor Vehicle Theft,425,64153,NPD,FALSE,FALSE
Simple Assault,223,64130,MPD,FALSE,FALSE
Simple Assault,641,64158,SCP,FALSE,FALSE
Burglary/Breaking and Entering,313,64124,EPD,FALSE,FALSE
Trespass of Real Property,113,64106,CPD,FALSE,FALSE
Theft From Motor Vehicle,112,64106,CPD,FALSE,FALSE
Drug / Narcotic Violations,333,64130,EPD,FALSE,FALSE
All Other Larceny,134,64111,CPD,FALSE,FALSE
Simple Assault,544,64137,SPD,FALSE,FALSE
Simple Assault,241,64132,MPD,FALSE,FALSE
All Other Offenses,315,64123,EPD,FALSE,FALSE
Drug / Narcotic Violations,122,64106,CPD,FALSE,FALSE
Theft From Motor Vehicle,111,64105,CPD,FALSE,FALSE
Trespass of Real Property,113,64108,CPD,FALSE,FALSE
Simple Assault,535,64145,SPD,FALSE,FALSE
Intimidation,122,64106,CPD,FALSE,FALSE
Trespass of Real Property,131,64111,CPD,FALSE,FALSE
Simple Assault,121,64106,CPD,FALSE,FALSE
Simple Assault,543,64134,SPD,FALSE,FALSE
Vandalism/Destruction of Property,345,64055,EPD,FALSE,FALSE
Motor Vehicle Theft,312,64123,EPD,FALSE,FALSE
Aggravated Assault,242,64132,MPD,FALSE,TRUE
Simple Assault,341,64127,EPD,TRUE,FALSE
Burglary/Breaking and Entering,212,64132,MPD,TRUE,FALSE
Aggravated Assault,213,64129,MPD,FALSE,FALSE
Motor Vehicle Theft,415,64118,NPD,FALSE,FALSE
,641,64158,SCP,FALSE,FALSE
Theft From Building,641,64158,SCP,FALSE,FALSE
Vandalism/Destruction of Property,543,64134,SPD,FALSE,FALSE
Theft From Motor Vehicle,544,64134,SPD,FALSE,FALSE
All Other Larceny,345,64133,EPD,FALSE,FALSE
All Other Larceny,143,64110,CPD,FALSE,FALSE
Aggravated Assault,312,64126,EPD,FALSE,TRUE
Trespass of Real Property,635,64117,SCP,FALSE,FALSE
,412,64118,NPD,FALSE,FALSE
Robbery,343,64128,EPD,FALSE,TRUE
Motor Vehicle Theft,134,64111,CPD,FALSE,FALSE
Simple Assault,113,64108,CPD,FALSE,FALSE
Drug Equipment Violations,113,64105,CPD,FALSE,FALSE
Theft From Motor Vehicle,534,64137,SPD,FALSE,FALSE
Vandalism/Destruction of Property,644,64157,SCP,FALSE,FALSE
Aggravated Assault,343,64128,EPD,FALSE,TRUE
Intimidation,333,64130,EPD,FALSE,FALSE
Motor Vehicle Theft,635,64117,SCP,FALSE,FALSE
Theft From Motor Vehicle,241,64132,MPD,FALSE,FALSE
Theft From Motor Vehicle,111,64105,CPD,FALSE,FALSE
,113,64108,CPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,635,64117,SCP,FALSE,FALSE
Intimidation,211,64132,MPD,FALSE,FALSE
Vandalism/Destruction of Property,323,64127,EPD,FALSE,FALSE
All Other Offenses,232,64131,MPD,FALSE,FALSE
Shoplifting,421,64153,NPD,FALSE,FALSE
Burglary/Breaking and Entering,413,64151,NPD,FALSE,FALSE
Motor Vehicle Theft,411,64116,NPD,FALSE,FALSE
Intimidation,212,64130,MPD,FALSE,FALSE
Simple Assault,412,,NPD,TRUE,FALSE
Simple Assault,115,64108,CPD,TRUE,FALSE
Motor Vehicle Theft,341,64127,EPD,FALSE,FALSE
Shoplifting,531,64114,SPD,FALSE,FALSE
Aggravated Assault,213,64129,MPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,234,64114,MPD,FALSE,FALSE
Credit Card / Automatic Teller,234,64131,MPD,FALSE,FALSE
False Pretenses / Swindle,232,64131,MPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Simple Assault,542,64134,SPD,TRUE,FALSE
Burglary/Breaking and Entering,211,64130,MPD,FALSE,FALSE
,999,64116,OSPD,FALSE,FALSE
Aggravated Assault,241,64132,MPD,FALSE,TRUE
Robbery,114,64108,CPD,FALSE,TRUE
All Other Larceny,322,64127,EPD,FALSE,FALSE
Robbery,223,64130,MPD,FALSE,TRUE
Vandalism/Destruction of Property,144,64110,CPD,TRUE,FALSE
Burglary/Breaking and Entering,344,64128,EPD,TRUE,FALSE
,425,64153,NPD,FALSE,FALSE
Motor Vehicle Theft,242,64132,MPD,FALSE,FALSE
Identity Theft,115,64108,CPD,FALSE,FALSE
Aggravated Assault,132,,CPD,FALSE,TRUE
Theft From Motor Vehicle,324,64127,EPD,FALSE,FALSE
Motor Vehicle Theft,424,64153,NPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,115,64108,CPD,FALSE,FALSE
Shoplifting,134,64112,CPD,FALSE,FALSE
All Other Offenses,631,,SCP,FALSE,FALSE
Driving Under the Influence,313,64124,EPD,FALSE,FALSE
Shoplifting,421,64153,NPD,FALSE,FALSE
Aggravated Assault,115,64108,CPD,FALSE,FALSE
Burglary/Breaking and Entering,234,64114,MPD,FALSE,FALSE
Theft From Motor Vehicle,642,,SCP,FALSE,FALSE
Vandalism/Destruction of Property,315,64123,EPD,FALSE,FALSE
Drug Equipment Violations,635,64117,SCP,TRUE,FALSE
Theft of Vehicle Parts and Accessories,121,64124,CPD,FALSE,FALSE
Vandalism/Destruction of Property,314,64124,EPD,FALSE,FALSE
Statutory Rape,421,64152,NPD,FALSE,FALSE
Theft From Building,134,64111,CPD,FALSE,FALSE
Vandalism/Destruction of Property,143,64110,CPD,FALSE,FALSE
Disorderly Conduct,233,64131,MPD,FALSE,FALSE
Theft From Motor Vehicle,641,64119,SCP,FALSE,FALSE
Shoplifting,234,64114,MPD,FALSE,FALSE
Aggravated Assault,334,64130,EPD,FALSE,TRUE
Theft From Building,142,64110,CPD,FALSE,FALSE
Aggravated Assault,334,,EPD,FALSE,FALSE
Simple Assault,233,64131,MPD,TRUE,FALSE
Vandalism/Destruction of Property,241,64132,MPD,FALSE,FALSE
Trespass of Real Property,315,64123,EPD,FALSE,FALSE
Simple Assault,312,64126,EPD,TRUE,FALSE
Burglary/Breaking and Entering,321,64127,EPD,FALSE,FALSE
,322,64127,EPD,FALSE,FALSE
"Family Offenses, Nonviolent",211,64130,MPD,FALSE,FALSE
Simple Assault,114,,CPD,TRUE,FALSE
Simple Assault,124,64127,CPD,FALSE,FALSE
Simple Assault,324,64127,EPD,TRUE,FALSE
Forcible Rape,333,,EPD,FALSE,FALSE
Simple Assault,334,64130,EPD,FALSE,FALSE
Liquor Law Violations,231,64114,MPD,FALSE,FALSE
Vandalism/Destruction of Property,113,,CPD,FALSE,FALSE
Vandalism/Destruction of Property,641,64119,SCP,FALSE,FALSE
Theft From Building,221,64112,MPD,FALSE,FALSE
Vandalism/Destruction of Property,144,64130,CPD,FALSE,FALSE
Trespass of Real Property,342,64129,EPD,FALSE,FALSE
Shoplifting,313,64124,EPD,FALSE,FALSE
All Other Larceny,533,64114,SPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,641,64158,SCP,FALSE,FALSE
Vandalism/Destruction of Property,343,64128,EPD,FALSE,FALSE
Forcible Rape,631,64116,SCP,TRUE,FALSE
Robbery,232,64131,MPD,FALSE,TRUE
Burglary/Breaking and Entering,133,64111,CPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,111,64105,CPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,632,64117,SCP,FALSE,FALSE
Robbery,242,64132,MPD,FALSE,TRUE
Theft of Vehicle Parts and Accessories,234,64114,MPD,FALSE,FALSE
Vandalism/Destruction of Property,232,64129,MPD,FALSE,FALSE
Simple Assault,334,64130,EPD,TRUE,FALSE
Intimidation,231,64114,MPD,FALSE,FALSE
All Other Offenses,345,64133,EPD,FALSE,FALSE
Simple Assault,213,64129,MPD,TRUE,FALSE
Aggravated Assault,223,64130,MPD,FALSE,FALSE
Trespass of Real Property,315,64106,EPD,FALSE,FALSE
Shoplifting,133,64111,CPD,FALSE,FALSE
Theft From Motor Vehicle,112,64105,CPD,FALSE,FALSE
Theft From Motor Vehicle,114,64108,CPD,FALSE,FALSE
Counterfeiting / Forgery,312,64125,EPD,FALSE,FALSE
Motor Vehicle Theft,111,64105,CPD,FALSE,FALSE
,414,64151,NPD,FALSE,FALSE
Shoplifting,313,64124,EPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
All Other Larceny,345,64133,EPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,544,64138,SPD,FALSE,FALSE
,999,64116,OSPD,TRUE,FALSE
Wire Fraud,323,64127,EPD,FALSE,FALSE
,321,64127,EPD,FALSE,FALSE
Simple Assault,412,64118,NPD,TRUE,FALSE
Drug / Narcotic Violations,212,64129,MPD,FALSE,FALSE
,413,64151,NPD,FALSE,FALSE
Drug / Narcotic Violations,331,64128,EPD,FALSE,FALSE
Aggravated Assault,534,64134,SPD,FALSE,TRUE
Simple Assault,115,64108,CPD,TRUE,FALSE
All Other Larceny,541,,SPD,FALSE,FALSE
Vandalism/Destruction of Property,413,64151,NPD,FALSE,FALSE
Theft From Motor Vehicle,113,64108,CPD,FALSE,FALSE
Trespass of Real Property,425,64153,NPD,FALSE,FALSE
Intimidation,425,64154,NPD,FALSE,FALSE
All Other Larceny,345,64133,EPD,FALSE,FALSE
Theft From Building,341,64127,EPD,FALSE,FALSE
Disorderly Conduct,112,64106,CPD,FALSE,FALSE
Burglary/Breaking and Entering,321,64127,EPD,TRUE,FALSE
Stolen Property Offenses,323,64127,EPD,FALSE,FALSE
All Other Offenses,542,64138,SPD,FALSE,FALSE
Robbery,341,64052,EPD,FALSE,TRUE
All Other Larceny,134,64112,CPD,FALSE,FALSE
All Other Larceny,424,64155,NPD,FALSE,FALSE
Shoplifting,423,64155,NPD,FALSE,FALSE
Robbery,311,64123,EPD,FALSE,TRUE
,324,64127,EPD,FALSE,FALSE
Burglary/Breaking and Entering,642,64156,SCP,FALSE,FALSE
Vandalism/Destruction of Property,112,64105,CPD,FALSE,FALSE
Theft From Building,534,64137,SPD,FALSE,FALSE
Burglary/Breaking and Entering,121,64120,CPD,FALSE,FALSE
Burglary/Breaking and Entering,644,64156,SCP,FALSE,FALSE
Simple Assault,332,64128,EPD,FALSE,FALSE
Trespass of Real Property,113,64106,CPD,FALSE,FALSE
Theft From Building,242,64132,MPD,FALSE,FALSE
Intimidation,242,64132,MPD,TRUE,FALSE
Simple Assault,313,64124,EPD,FALSE,FALSE
All Other Larceny,642,64155,SCP,FALSE,FALSE
,125,64109,CPD,FALSE,FALSE
Shoplifting,421,64153,NPD,FALSE,FALSE
Vandalism/Destruction of Property,211,64130,MPD,TRUE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Simple Assault,234,64132,MPD,FALSE,FALSE
Aggravated Assault,223,64130,MPD,FALSE,TRUE
,234,64131,MPD,FALSE,FALSE
,314,64124,EPD,FALSE,FALSE
Simple Assault,131,64111,CPD,FALSE,FALSE
Theft From Motor Vehicle,113,64108,CPD,FALSE,FALSE
,315,64123,EPD,FALSE,FALSE
All Other Larceny,412,,NPD,FALSE,FALSE
Motor Vehicle Theft,121,64106,CPD,FALSE,FALSE
,415,64118,NPD,FALSE,FALSE
All Other Larceny,121,,CPD,FALSE,FALSE
Burglary/Breaking and Entering,131,64111,CPD,FALSE,FALSE
Driving Under the Influence,221,64110,MPD,FALSE,FALSE
Burglary/Breaking and Entering,133,64111,CPD,FALSE,FALSE
Murder,343,64128,EPD,FALSE,TRUE
Aggravated Assault,531,64114,SPD,FALSE,TRUE
Stolen Property Offenses,322,64106,EPD,FALSE,FALSE
Robbery,231,64114,MPD,FALSE,TRUE
,411,64118,NPD,FALSE,FALSE
Identity Theft,422,64154,NPD,FALSE,FALSE
All Other Larceny,134,64111,CPD,FALSE,FALSE
Aggravated Assault,133,64111,CPD,FALSE,TRUE
Theft From Building,242,64132,MPD,FALSE,FALSE
Burglary/Breaking and Entering,345,64133,EPD,FALSE,FALSE
All Other Larceny,422,64154,NPD,FALSE,FALSE
Theft From Building,531,64114,SPD,FALSE,FALSE
Robbery,411,,NPD,FALSE,TRUE
All Other Offenses,315,64123,EPD,FALSE,FALSE
Vandalism/Destruction of Property,133,64111,CPD,FALSE,FALSE
Driving Under the Influence,123,64108,CPD,FALSE,FALSE
Vandalism/Destruction of Property,414,64151,NPD,FALSE,FALSE
Motor Vehicle Theft,113,64106,CPD,FALSE,FALSE
Motor Vehicle Theft,121,64119,CPD,FALSE,FALSE
All Other Larceny,133,64111,CPD,FALSE,FALSE
All Other Offenses,142,64109,CPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,115,64108,CPD,FALSE,FALSE
Disorderly Conduct,122,64124,CPD,FALSE,FALSE
Vandalism/Destruction of Property,312,64126,EPD,FALSE,FALSE
False Pretenses / Swindle,312,64126,EPD,FALSE,FALSE
Drug / Narcotic Violations,634,64119,SCP,FALSE,FALSE
Simple Assault,114,64108,CPD,FALSE,FALSE
Vandalism/Destruction of Property,642,64155,SCP,FALSE,FALSE
Theft From Motor Vehicle,121,64106,CPD,FALSE,FALSE
Intimidation,222,64130,MPD,FALSE,FALSE
Theft From Motor Vehicle,133,64111,CPD,FALSE,FALSE
Robbery,313,64124,EPD,FALSE,TRUE
Trespass of Real Property,345,64133,EPD,FALSE,FALSE
Vandalism/Destruction of Property,243,64132,MPD,FALSE,FALSE
Driving Under the Influence,332,64109,EPD,FALSE,FALSE
Simple Assault,324,64127,EPD,TRUE,FALSE
Aggravated Assault,331,64128,EPD,TRUE,FALSE
Vandalism/Destruction of Property,531,64114,SPD,FALSE,FALSE
Disorderly Conduct,331,64128,EPD,FALSE,FALSE
Aggravated Assault,123,64106,CPD,FALSE,TRUE
Drug / Narcotic Violations,322,64127,EPD,FALSE,FALSE
Aggravated Assault,232,64131,MPD,FALSE,FALSE
,635,64117,SCP,FALSE,FALSE
Motor Vehicle Theft,111,64101,CPD,FALSE,FALSE
Vandalism/Destruction of Property,243,64138,MPD,TRUE,FALSE
Trespass of Real Property,132,64111,CPD,FALSE,FALSE
Intimidation,635,64117,SCP,TRUE,FALSE
Vandalism/Destruction of Property,321,64127,EPD,FALSE,FALSE
Aggravated Assault,125,64109,CPD,FALSE,FALSE
Aggravated Assault,332,64128,EPD,FALSE,TRUE
Theft From Motor Vehicle,113,,CPD,FALSE,FALSE
,224,64110,MPD,FALSE,FALSE
Theft From Motor Vehicle,342,64130,EPD,FALSE,FALSE
Robbery,213,64133,MPD,TRUE,FALSE
Theft of Vehicle Parts and Accessories,643,64157,SCP,FALSE,FALSE
Simple Assault,323,64127,EPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,542,64138,SPD,FALSE,FALSE
Vandalism/Destruction of Property,122,64106,CPD,FALSE,FALSE
Aggravated Assault,635,64117,SCP,FALSE,TRUE
All Other Larceny,632,64116,SCP,FALSE,FALSE
Simple Assault,545,64134,SPD,TRUE,FALSE
All Other Offenses,332,64109,EPD,FALSE,FALSE
Motor Vehicle Theft,111,64106,CPD,FALSE,FALSE
,641,64119,SCP,FALSE,FALSE
Murder,315,64123,EPD,FALSE,TRUE
Burglary/Breaking and Entering,312,64125,EPD,FALSE,FALSE
Wire Fraud,643,64157,SCP,FALSE,FALSE
Vandalism/Destruction of Property,531,,SPD,FALSE,FALSE
Burglary/Breaking and Entering,113,64108,CPD,FALSE,FALSE
,221,64130,MPD,FALSE,FALSE
Vandalism/Destruction of Property,115,64108,CPD,FALSE,FALSE
Aggravated Assault,234,64131,MPD,FALSE,TRUE
Intimidation,642,64155,SCP,FALSE,FALSE
,321,64124,EPD,FALSE,FALSE
Forcible Sodomy,112,64106,CPD,FALSE,FALSE
Drug / Narcotic Violations,331,64128,EPD,FALSE,FALSE
Motor Vehicle Theft,333,64130,EPD,FALSE,FALSE
All Other Offenses,142,64109,CPD,FALSE,FALSE
Burglary/Breaking and Entering,121,64124,CPD,FALSE,FALSE
